"gross","genre","series_title","imdb_rating","director"
70099045,"Action, Crime, Drama","Kill Bill: Vol. 1","8.1","Quentin Tarantino"
66208183,"Action, Crime, Thriller","Kill Bill: Vol. 2","8","Quentin Tarantino"
65207127,"Action, Crime, Thriller","Lethal Weapon","7.6","Richard Donner"
63540020,"Action, Adventure, Sci-Fi","The Fifth Element","7.7","Luc Besson"
59735548,"Action, Adventure, Sci-Fi","Predator","7.8","John McTiernan"
57229890,"Action, Adventure, Comedy","The Blues Brothers","7.9","John Landis"
56505065,"Action, Biography, Drama","Tombstone","7.8","George P. Cosmatos"
54234062,"Action, Adventure, Drama","The Count of Monte Cristo","7.8","Kevin Reynolds"
53710019,"Action, Adventure, History","Ying xiong","7.9","Yimou Zhang"
53606916,"Action, Crime, Drama","3:10 to Yuma","7.7","James Mangold"
51081062,"Action, Adventure, Thriller","Goldfinger","7.7","Guy Hamilton"
50866635,"Action, Adventure, Drama","Apocalypto","7.8","Mel Gibson"
48323648,"Action, Drama, Mystery","The Game","7.8","David Fincher"
48071303,"Action, Comedy, Crime","Kick-Ass","7.6","Matthew Vaughn"
47212904,"Action, Adventure","First Blood","7.7","Ted Kotcheff"
46889293,"Action, Crime, Drama","Sicario","7.6","Denis Villeneuve"
45300000,"Action, Adventure, War","The Dirty Dozen","7.7","Robert Aldrich"
43000000,"Action, Biography, Crime","Escape from Alcatraz","7.6","Don Siegel"
41003371,"Action, Crime, Drama","End of Watch","7.6","David Ayer"
40903593,"Action, Crime, Drama","Falling Down","7.6","Joel Schumacher"
39100000,"Action, Drama, History","The Longest Day","7.8","Ken Annakin"
38400000,"Action, Sci-Fi","The Terminator","8","James Cameron"
35900000,"Action, Crime, Thriller","Dirty Harry","7.7","Don Siegel"
32868943,"Action, Sci-Fi, Thriller","Blade Runner","8.1","Ridley Scott"
26947624,"Action, Biography, Drama","Rush","8.1","Ron Howard"
26862450,"Action, Crime, Drama","Hell or High Water","7.6","David Mackenzie"
25514517,"Action, Adventure, Sci-Fi","Serenity","7.8","Joss Whedon"
25000000,"Action, Crime, Drama","Enter the Dragon","7.7","Robert Clouse"
24633730,"Action, Biography, Drama","Huo Yuan Jia","7.6","Ronny Yu"
24149632,"Action, Crime, Drama","Lord of War","7.6","Andrew Niccol"
23637265,"Action, Comedy, Mystery","Hot Fuzz","7.8","Edgar Wright"
22494487,"Action, Crime, Drama","Lucky Number Slevin","7.7","Paul McGuigan"
22490039,"Action, Crime, Thriller","The Warriors","7.6","Walter Hill"
22238696,"Action, Drama, History","Empire of the Sun","7.7","Steven Spielberg"
20186659,"Action, Drama","Baahubali 2: The Conclusion","8.2","S.S. Rajamouli"
19501238,"Action, Crime, Drama","Léon","8.5","Luc Besson"
18340051,"Action, Biography, Drama","Only the Brave","7.6","Joseph Kosinski"
17114882,"Action, Crime, Drama","Eastern Promises","7.6","David Cronenberg"
17108591,"Action, Comedy, Fantasy","Kung fu","7.7","Stephen Chow"
15630710,"Action, Crime, Drama","The French Connection","7.7","William Friedkin"
14500000,"Action, Drama, Western","Per un pugno di dollari","8","Sergio Leone"
13756082,"Action, Adventure, Drama","Letters from Iwo Jima","7.9","Clint Eastwood"
13657115,"Action, Drama, Sport","Warrior","8.2","Gavin O'Connor"
12535000,"Action, Drama, Western","Rio Bravo","8","Howard Hawks"
12465371,"Action, Adventure, Sci-Fi","Mad Max 2","7.6","George Miller"
12391761,"Action, Biography, Drama","Dangal","8.4","Nitesh Tiwari"
12064472,"Action, Adventure, Western","The Wild Bunch","7.9","Sam Peckinpah"
8178001,"Action, Adventure, Comedy","Bajrangi Bhaijaan","8","Kabir Khan"
6738000,"Action, Drama","Bãhubali: The Beginning","8","S.S. Rajamouli"
5923044,"Action, Comedy, Fantasy","Evil Dead II","7.8","Sam Raimi"
5100000,"Action, Adventure, Horror","Dawn of the Dead","7.9","George A. Romero"
4905000,"Action, Adventure, Western","The Magnificent Seven","7.7","John Sturges"
4186168,"Action, Drama, War","Uri: The Surgical Strike","8.2","Aditya Dhar"
4135750,"Action, Drama, War","Ran","8.2","Akira Kurosawa"
4105123,"Action, Thriller","Serbuan maut","7.6","Gareth Evans"
3981000,"Action, Adventure, Romance","The Adventures of Robin Hood","7.9","Michael Curtiz"
3897569,"Action, Comedy, Crime","Lock, Stock and Two Smoking Barrels","8.2","Guy Ritchie"
2625803,"Action, Crime, Thriller","Serbuan maut 2: Berandal","8","Gareth Evans"
1111061,"Action, Drama, War","Taegukgi hwinalrimyeo","8.1","Je-kyu Kang"
1033895,"Action, Adventure, Comedy","The General","8.1","Clyde Bruckman"
977375,"Action, Comedy, Romance","Sherlock Jr.","8.2","Buster Keaton"
901610,"Action, Crime, Drama","Haider","8.1","Vishal Bhardwaj"
707481,"Action, Drama, Mystery","Oldeuboi","8.4","Chan-wook Park"
269061,"Action, Adventure, Drama","Shichinin no samurai","8.6","Akira Kurosawa"
169659,"Action, Crime, Drama","Mou gaan dou","8","Andrew Lau"
128392,"Action, Crime, Drama","Ang-ma-reul bo-at-da","7.8","Jee-woon Kim"
100119,"Action, Crime, Drama","Tropa de Elite 2: O Inimigo Agora é Outro","8","José Padilha"
39567,"Action, Biography, Crime","Paan Singh Tomar","8.2","Tigmanshu Dhulia"
25812,"Action, Crime, Thriller","The Boondock Saints","7.8","Troy Duffy"
8060,"Action, Crime, Drama","Tropa de Elite","8","José Padilha"
6460,"Action, Crime, Drama","Ajeossi","7.8","Jeong-beom Lee"
3296,"Action, Crime, Comedy","Knockin' on Heaven's Door","8","Thomas Jahn"
